municipality,year,personas_inscritas_en_la_municipalidad_en_busca_de_empleo
TRAIGUÉN,2011,549
VICTORIA,2011,203
TEMUCO,2010,3589
CARAHUE,2010,260
CUNCO,2010,1606
CURARREHUE,2010,668
FREIRE,2010,820
GALVARINO,2010,332
GORBEA,2010,367
LAUTARO,2010,1698
LONCOCHE,2010,1176
NUEVA IMPERIAL,2010,654
PADRE LAS CASAS,2010,1692
PERQUENCO,2010,150
PITRUFQUÉN,2010,4534
PUCÓN,2010,711
SAAVEDRA,2010,1067
TEODORO SCHMIDT,2010,227
TOLTÉN,2010,660
VILCÚN,2010,1190
VILLARRICA,2010,1736
CHOLCHOL,2010,622
ANGOL,2010,1616
COLLIPULLI,2010,1551
CURACAUTÍN,2010,360
ERCILLA,2010,1749
LONQUIMAY,2010,800
LOS SAUCES,2010,350
LUMACO,2010,963
PURÉN,2010,450
RENAICO,2010,722
TRAIGUÉN,2010,772
VICTORIA,2010,617
TEMUCO,2009,4500
CUNCO,2009,1040
CURARREHUE,2009,640
FREIRE,2009,893
GALVARINO,2009,730
GORBEA,2009,322
LAUTARO,2009,1188
LONCOCHE,2009,582
NUEVA IMPERIAL,2009,892
PADRE LAS CASAS,2009,1544
PERQUENCO,2009,100
PITRUFQUÉN,2009,2999
PUCÓN,2009,665
SAAVEDRA,2009,616
TOLTÉN,2009,500
VILCÚN,2009,503
CHOLCHOL,2009,203
ANGOL,2009,2008
COLLIPULLI,2009,1406
CURACAUTÍN,2009,474
ERCILLA,2009,1081
LONQUIMAY,2009,840
LOS SAUCES,2009,350
LUMACO,2009,1023
PURÉN,2009,672
TRAIGUÉN,2009,687
VICTORIA,2009,1471
TEMUCO,2008,2984
CUNCO,2008,678
CURARREHUE,2008,42
FREIRE,2008,0
GALVARINO,2008,524
GORBEA,2008,131
LAUTARO,2008,1459
LONCOCHE,2008,442
NUEVA IMPERIAL,2008,417
PADRE LAS CASAS,2008,1211
PERQUENCO,2008,1200
PITRUFQUÉN,2008,659
SAAVEDRA,2008,105
TEODORO SCHMIDT,2008,69
TOLTÉN,2008,250
VILCÚN,2008,692
VILLARRICA,2008,1104
CHOLCHOL,2008,395
ANGOL,2008,2055
COLLIPULLI,2008,1136
CURACAUTÍN,2008,340
ERCILLA,2008,120
LONQUIMAY,2008,262
LOS SAUCES,2008,350
LUMACO,2008,275
PURÉN,2008,2490
RENAICO,2008,526
TRAIGUÉN,2008,210
VICTORIA,2008,42
TEMUCO,2007,2564
CARAHUE,2007,482
CUNCO,2007,353
CURARREHUE,2007,308
FREIRE,2007,228
GALVARINO,2007,497
GORBEA,2007,294
LAUTARO,2007,1639
LONCOCHE,2007,442
MELIPEUCO,2007,185
NUEVA IMPERIAL,2007,363
PADRE LAS CASAS,2007,1925
PERQUENCO,2007,437
PITRUFQUÉN,2007,354
PUCÓN,2007,570
SAAVEDRA,2007,1334
TEODORO SCHMIDT,2007,580
TOLTÉN,2007,600
VILCÚN,2007,140
VILLARRICA,2007,503
CHOLCHOL,2007,400000
ANGOL,2007,2387
COLLIPULLI,2007,593
CURACAUTÍN,2007,285
ERCILLA,2007,300
LONQUIMAY,2007,772
LOS SAUCES,2007,487
LUMACO,2007,325
PURÉN,2007,253
RENAICO,2007,682
TRAIGUÉN,2007,406
VICTORIA,2007,3968
TEMUCO,2006,4320
CARAHUE,2006,698
CUNCO,2006,92
CURARREHUE,2006,145
FREIRE,2006,288
GALVARINO,2006,407
GORBEA,2006,267
LAUTARO,2006,1656
LONCOCHE,2006,1702
MELIPEUCO,2006,300
NUEVA IMPERIAL,2006,350
PADRE LAS CASAS,2006,8979
PERQUENCO,2006,160
PITRUFQUÉN,2006,2127
PUCÓN,2006,815
SAAVEDRA,2006,186
TEODORO SCHMIDT,2006,418
TOLTÉN,2006,345
VILCÚN,2006,262
VILLARRICA,2006,1987
ANGOL,2006,2244
COLLIPULLI,2006,443
CURACAUTÍN,2006,398
ERCILLA,2006,250
LONQUIMAY,2006,1078
LOS SAUCES,2006,668
LUMACO,2006,343
PURÉN,2006,161
RENAICO,2006,179
TRAIGUÉN,2006,500
VICTORIA,2006,2000
TEMUCO,2005,5042
CARAHUE,2005,416
CUNCO,2005,1492
CURARREHUE,2005,237
FREIRE,2005,831
GALVARINO,2005,167
GORBEA,2005,514
LAUTARO,2005,1912
LONCOCHE,2005,514
MELIPEUCO,2005,198
NUEVA IMPERIAL,2005,666
PADRE LAS CASAS,2005,8979
PERQUENCO,2005,172
PITRUFQUÉN,2005,300
PUCÓN,2005,1148
SAAVEDRA,2005,229
TEODORO SCHMIDT,2005,101
TOLTÉN,2005,222
VILCÚN,2005,268
VILLARRICA,2005,2799
CHOLCHOL,2005,602
ANGOL,2005,915
COLLIPULLI,2005,8350
CURACAUTÍN,2005,335
ERCILLA,2005,147
LONQUIMAY,2005,534
LOS SAUCES,2005,294
LUMACO,2005,305
PURÉN,2005,294
RENAICO,2005,278
TRAIGUÉN,2005,236
VICTORIA,2005,2169
TEMUCO,2004,5013
CARAHUE,2004,131
CUNCO,2004,271
CURARREHUE,2004,79
FREIRE,2004,469
GALVARINO,2004,338
GORBEA,2004,210
LAUTARO,2004,1179
LONCOCHE,2004,2035
MELIPEUCO,2004,171
NUEVA IMPERIAL,2004,1150
PADRE LAS CASAS,2004,1144
PERQUENCO,2004,243
PITRUFQUÉN,2004,1532
PUCÓN,2004,1332
SAAVEDRA,2004,127
TEODORO SCHMIDT,2004,161
TOLTÉN,2004,0
VILCÚN,2004,1180
VILLARRICA,2004,1941
ANGOL,2004,459
COLLIPULLI,2004,848
CURACAUTÍN,2004,869
ERCILLA,2004,561
LONQUIMAY,2004,159
LOS SAUCES,2004,243
LUMACO,2004,100
PURÉN,2004,169
RENAICO,2004,133
TRAIGUÉN,2004,305
VICTORIA,2004,2169
TEMUCO,2003,5810
CARAHUE,2003,700
CUNCO,2003,1350
CURARREHUE,2003,406
FREIRE,2003,407
GORBEA,2003,248
LAUTARO,2003,959
LONCOCHE,2003,189
MELIPEUCO,2003,500
NUEVA IMPERIAL,2003,880
PADRE LAS CASAS,2003,864
PERQUENCO,2003,932
PITRUFQUÉN,2003,1711
PUCÓN,2003,1100
SAAVEDRA,2003,172
TEODORO SCHMIDT,2003,186
TOLTÉN,2003,482
VILLARRICA,2003,234
ANGOL,2003,837
COLLIPULLI,2003,614
CURACAUTÍN,2003,554
ERCILLA,2003,317
LONQUIMAY,2003,148
LOS SAUCES,2003,362
LUMACO,2003,180
PURÉN,2003,228
RENAICO,2003,189
TRAIGUÉN,2003,324
VICTORIA,2003,634
TEMUCO,2002,9839
CARAHUE,2002,1134
CUNCO,2002,1315
CURARREHUE,2002,406
FREIRE,2002,873
GALVARINO,2002,170
GORBEA,2002,204
LAUTARO,2002,1508
LONCOCHE,2002,1410
MELIPEUCO,2002,450
NUEVA IMPERIAL,2002,2340
PADRE LAS CASAS,2002,1178
PERQUENCO,2002,100
PITRUFQUÉN,2002,551
PUCÓN,2002,115
SAAVEDRA,2002,774
TEODORO SCHMIDT,2002,600
TOLTÉN,2002,266
VILCÚN,2002,1348
VILLARRICA,2002,664
ANGOL,2002,1263
COLLIPULLI,2002,879
CURACAUTÍN,2002,871
ERCILLA,2002,1202
LONQUIMAY,2002,552
LOS SAUCES,2002,289
LUMACO,2002,328
PURÉN,2002,356
RENAICO,2002,405
TRAIGUÉN,2002,739
VICTORIA,2002,512
TEMUCO,2001,5943
CARAHUE,2001,1698
CUNCO,2001,1092
CURARREHUE,2001,337
FREIRE,2001,538
GORBEA,2001,1200
LAUTARO,2001,2084
MELIPEUCO,2001,250
NUEVA IMPERIAL,2001,651
PADRE LAS CASAS,2001,1372
PERQUENCO,2001,64
PITRUFQUÉN,2001,1216
PUCÓN,2001,450
SAAVEDRA,2001,587
TEODORO SCHMIDT,2001,300
TOLTÉN,2001,518
VILCÚN,2001,1200
VILLARRICA,2001,1188
ANGOL,2001,3932
COLLIPULLI,2001,1704
CURACAUTÍN,2001,1411
ERCILLA,2001,1068
LOS SAUCES,2001,426
LUMACO,2001,600
PURÉN,2001,760
RENAICO,2001,363
TRAIGUÉN,2001,1340
VICTORIA,2001,1627
