municipality,year,subsidios_de_agua_potable_sap_otorgados_por_la_comuna_a_zonas_urbanas
TRAIGUÉN,2010,574
VICTORIA,2010,1017
TEMUCO,2009,113
CUNCO,2009,907
FREIRE,2009,734
GALVARINO,2009,568
GORBEA,2009,361
LAUTARO,2009,2434
LONCOCHE,2009,1445
NUEVA IMPERIAL,2009,1429
PADRE LAS CASAS,2009,53
PERQUENCO,2009,0
PITRUFQUÉN,2009,1456
PUCÓN,2009,1665
SAAVEDRA,2009,457
TOLTÉN,2009,397
VILCÚN,2009,23
VILLARRICA,2009,3408
CHOLCHOL,2009,105
ANGOL,2009,1295
COLLIPULLI,2009,616
CURACAUTÍN,2009,2185
LONQUIMAY,2009,130
LOS SAUCES,2009,168
LUMACO,2009,595
PURÉN,2009,1040
TRAIGUÉN,2009,397
VICTORIA,2009,843
TEMUCO,2008,4460
CUNCO,2008,667
CURARREHUE,2008,0
FREIRE,2008,769
GALVARINO,2008,290
GORBEA,2008,629
LAUTARO,2008,2434
LONCOCHE,2008,1363
NUEVA IMPERIAL,2008,1571
PADRE LAS CASAS,2008,2373
PERQUENCO,2008,0
PITRUFQUÉN,2008,1415
SAAVEDRA,2008,330
TEODORO SCHMIDT,2008,199
TOLTÉN,2008,549
VILCÚN,2008,1040
VILLARRICA,2008,1458
CHOLCHOL,2008,100
ANGOL,2008,3130
COLLIPULLI,2008,2380
CURACAUTÍN,2008,2075
ERCILLA,2008,451
LONQUIMAY,2008,545
LOS SAUCES,2008,230
LUMACO,2008,461
PURÉN,2008,1080
RENAICO,2008,597
TRAIGUÉN,2008,1535
VICTORIA,2008,2040
TEMUCO,2007,6612
CARAHUE,2007,1269
CUNCO,2007,784
CURARREHUE,2007,0
FREIRE,2007,359
GALVARINO,2007,525
GORBEA,2007,412
LAUTARO,2007,2324
LONCOCHE,2007,1427
MELIPEUCO,2007,0
NUEVA IMPERIAL,2007,1556
PADRE LAS CASAS,2007,2366
PERQUENCO,2007,0
PITRUFQUÉN,2007,1394
PUCÓN,2007,800
SAAVEDRA,2007,79
TEODORO SCHMIDT,2007,0
TOLTÉN,2007,193
VILCÚN,2007,1040
VILLARRICA,2007,1772
CHOLCHOL,2007,278
ANGOL,2007,1627
COLLIPULLI,2007,2517
CURACAUTÍN,2007,2000
ERCILLA,2007,413
LONQUIMAY,2007,125
LOS SAUCES,2007,575
LUMACO,2007,164
PURÉN,2007,1029
RENAICO,2007,1081
TRAIGUÉN,2007,1935
VICTORIA,2007,3387
TEMUCO,2003,520
CARAHUE,2003,1117
CUNCO,2003,810
CURARREHUE,2003,72
FREIRE,2003,611
GORBEA,2003,1033
LAUTARO,2003,1994
LONCOCHE,2003,1575
NUEVA IMPERIAL,2003,1479
PADRE LAS CASAS,2003,103
PITRUFQUÉN,2003,1283
PUCÓN,2003,229
SAAVEDRA,2003,29
TOLTÉN,2003,33
VILLARRICA,2003,239
ANGOL,2003,4464
COLLIPULLI,2003,408
CURACAUTÍN,2003,1930
ERCILLA,2003,365
LONQUIMAY,2003,35
LOS SAUCES,2003,554
LUMACO,2003,14
PURÉN,2003,975
RENAICO,2003,1144
TRAIGUÉN,2003,162
VICTORIA,2003,3120
TEMUCO,2002,2071
CARAHUE,2002,1080
CUNCO,2002,783
CURARREHUE,2002,72
GALVARINO,2002,490
GORBEA,2002,211
LAUTARO,2002,1754
LONCOCHE,2002,1458
MELIPEUCO,2002,0
NUEVA IMPERIAL,2002,1462
PADRE LAS CASAS,2002,201
PITRUFQUÉN,2002,1283
PUCÓN,2002,700
SAAVEDRA,2002,467
TOLTÉN,2002,400
VILCÚN,2002,877
VILLARRICA,2002,2129
ANGOL,2002,4464
COLLIPULLI,2002,2363
CURACAUTÍN,2002,1733
ERCILLA,2002,365
LONQUIMAY,2002,532
LOS SAUCES,2002,559
LUMACO,2002,471
PURÉN,2002,834
RENAICO,2002,906
TRAIGUÉN,2002,1768
VICTORIA,2002,2955
TEMUCO,2001,3522
CARAHUE,2001,1104
CUNCO,2001,733
FREIRE,2001,523
GORBEA,2001,839
LAUTARO,2001,1370
MELIPEUCO,2001,0
NUEVA IMPERIAL,2001,1422
PADRE LAS CASAS,2001,294
PITRUFQUÉN,2001,1253
PUCÓN,2001,638
SAAVEDRA,2001,335
TEODORO SCHMIDT,2001,0
TOLTÉN,2001,393
VILCÚN,2001,710
VILLARRICA,2001,1615
ANGOL,2001,3279
COLLIPULLI,2001,663
CURACAUTÍN,2001,721
ERCILLA,2001,365
LOS SAUCES,2001,520
LUMACO,2001,471
PURÉN,2001,834
RENAICO,2001,830
TRAIGUÉN,2001,1542
VICTORIA,2001,1964
