cod_com,comuna,agno,grado,prom_nat2m_com,dif_nat2m_com,sigdif_nat2m_com
13125,QUILICURA,2016,2m,243,-4,No significativa
8309,QUILLECO,2016,2m,224,0,No significativa
5501,QUILLOTA,2016,2m,250,-3,No significativa
8413,QUILLÓN,2016,2m,219,-7,No significativa
5801,QUILPUÉ,2016,2m,242,-7,Negativa y significativa
10210,QUINCHAO,2016,2m,241,1,No significativa
6114,QUINTA DE TILCOCO,2016,2m,240,-3,No significativa
13126,QUINTA NORMAL,2016,2m,229,-9,Negativa y significativa
5107,QUINTERO,2016,2m,230,-11,Negativa y significativa
8414,QUIRIHUE,2016,2m,244,2,No significativa
6101,RANCAGUA,2016,2m,251,-1,No significativa
7305,RAUCO,2016,2m,192,-13,No significativa
13127,RECOLETA,2016,2m,236,-6,No significativa
9209,RENAICO,2016,2m,213,2,No significativa
13128,RENCA,2016,2m,240,2,No significativa
6115,RENGO,2016,2m,237,-8,No significativa
6116,REQUÍNOA,2016,2m,246,3,No significativa
7405,RETIRO,2016,2m,227,-2,No significativa
5303,RINCONADA,2016,2m,259,14,No significativa
7306,ROMERAL,2016,2m,226,-1,No significativa
8415,RÁNQUIL,2016,2m,209,-10,No significativa
14204,RÍO BUENO,2016,2m,232,-1,No significativa
7108,RÍO CLARO,2016,2m,225,-9,No significativa
4305,RÍO HURTADO,2016,2m,216,0,No significativa
11402,RÍO IBÁÑEZ,2016,2m,208,-23,No significativa
10305,RÍO NEGRO,2016,2m,226,-8,No significativa
12103,RÍO VERDE,2016,2m,NA,NA,NA
9116,SAAVEDRA,2016,2m,208,-8,No significativa
7307,SAGRADA FAMILIA,2016,2m,210,-7,No significativa
4204,SALAMANCA,2016,2m,238,-2,No significativa
5601,SAN ANTONIO,2016,2m,234,-10,Negativa y significativa
13401,SAN BERNARDO,2016,2m,233,-9,Negativa y significativa
8416,SAN CARLOS,2016,2m,239,-12,Negativa y significativa
7109,SAN CLEMENTE,2016,2m,215,-7,No significativa
5304,SAN ESTEBAN,2016,2m,221,4,No significativa
8417,SAN FABIÁN,2016,2m,250,27,Positiva y significativa
5701,SAN FELIPE,2016,2m,245,-5,No significativa
6301,SAN FERNANDO,2016,2m,242,-7,No significativa
12104,SAN GREGORIO,2016,2m,NA,NA,NA
8418,SAN IGNACIO,2016,2m,223,1,No significativa
7406,SAN JAVIER,2016,2m,240,-8,No significativa
13129,SAN JOAQUÍN,2016,2m,222,-14,Negativa y significativa
13203,SAN JOSÉ DE MAIPO,2016,2m,227,-9,No significativa
10306,SAN JUAN DE LA COSTA,2016,2m,209,-14,No significativa
13130,SAN MIGUEL,2016,2m,234,-8,Negativa y significativa
8419,SAN NICOLÁS,2016,2m,273,-7,No significativa
10307,SAN PABLO,2016,2m,216,-11,No significativa
13505,SAN PEDRO,2016,2m,217,-2,No significativa
2203,SAN PEDRO DE ATACAMA,2016,2m,231,8,No significativa
8108,SAN PEDRO DE LA PAZ,2016,2m,262,-12,Negativa y significativa
7110,SAN RAFAEL,2016,2m,NA,NA,NA
13131,SAN RAMÓN,2016,2m,225,-5,No significativa
8310,SAN ROSENDO,2016,2m,224,-9,No significativa
6117,SAN VICENTE,2016,2m,246,-14,Negativa y significativa
8311,SANTA BÁRBARA,2016,2m,219,-3,No significativa
6310,SANTA CRUZ,2016,2m,249,-12,Negativa y significativa
8109,SANTA JUANA,2016,2m,235,8,No significativa
5706,SANTA MARÍA,2016,2m,237,6,No significativa
13101,SANTIAGO,2016,2m,251,-10,Negativa y significativa
5606,SANTO DOMINGO,2016,2m,234,-11,No significativa
2103,SIERRA GORDA,2016,2m,NA,NA,NA
13601,TALAGANTE,2016,2m,243,-2,No significativa
7101,TALCA,2016,2m,241,-7,Negativa y significativa
8110,TALCAHUANO,2016,2m,239,-15,Negativa y significativa
2104,TALTAL,2016,2m,217,3,No significativa
9101,TEMUCO,2016,2m,251,-4,No significativa
7308,TENO,2016,2m,253,1,No significativa
9117,TEODORO SCHMIDT,2016,2m,214,0,No significativa
3103,TIERRA AMARILLA,2016,2m,202,0,No significativa
13303,TIL TIL,2016,2m,222,8,No significativa
12303,TIMAUKEL,2016,2m,NA,NA,NA
8207,TIRÚA,2016,2m,211,0,No significativa
2301,TOCOPILLA,2016,2m,221,-9,No significativa
9118,TOLTÉN,2016,2m,219,0,No significativa
8111,TOMÉ,2016,2m,214,-14,Negativa y significativa
12402,TORRES DEL PAINE,2016,2m,NA,NA,NA
11303,TORTEL,2016,2m,NA,NA,NA
9210,TRAIGUÉN,2016,2m,225,12,No significativa
8420,TREGUACO,2016,2m,218,-9,No significativa
8312,TUCAPEL,2016,2m,229,5,No significativa
14101,VALDIVIA,2016,2m,246,-8,Negativa y significativa
3301,VALLENAR,2016,2m,234,-4,No significativa
5101,VALPARAÍSO,2016,2m,236,-14,Negativa y significativa
7309,VICHUQUÉN,2016,2m,228,-6,No significativa
9211,VICTORIA,2016,2m,227,-13,Negativa y significativa
4106,VICUÑA,2016,2m,229,-20,Negativa y significativa
9119,VILCÚN,2016,2m,226,0,No significativa
7407,VILLA ALEGRE,2016,2m,203,-15,No significativa
5804,VILLA ALEMANA,2016,2m,251,-11,Negativa y significativa
9120,VILLARRICA,2016,2m,247,-4,No significativa
13132,VITACURA,2016,2m,301,-4,No significativa
5109,VIÑA DEL MAR,2016,2m,253,-8,Negativa y significativa
7408,YERBAS BUENAS,2016,2m,229,-7,No significativa
8313,YUMBEL,2016,2m,227,-22,Negativa y significativa
8421,YUNGAY,2016,2m,242,-11,Negativa y significativa
5405,ZAPALLAR,2016,2m,243,-1,No significativa
8409,ÑIQUÉN,2016,2m,213,0,No significativa
13120,ÑUÑOA,2016,2m,251,-7,Negativa y significativa
1101,Iquique,2018,2m,242,2,0
1107,Alto Hospicio,2018,2m,233,6,0
1401,Pozo Almonte,2018,2m,224,16,1
1402,Camiña,2018,2m,222,-12,0
1403,Colchane,2018,2m,209,0,0
1404,Huara,2018,2m,195,-16,0
1405,Pica,2018,2m,218,15,1
2101,Antofagasta,2018,2m,239,2,0
2102,Mejillones,2018,2m,208,0,0
